,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated
63,F34 H,,O1,Ogawa,Ambiental,21/04/1992,Formosa,,,Positive,Positive,Positive,Positive,NR,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
322,S1511,,O1,Ogawa,Human,25/11/1992,"Tartagal, Salta",,,Positive,,,,,6,,,,NA,,CCBT0100,,O1,Ogawa,Human,13/11/1992,Tartagal,Salta,Positive,Positive,Positive,Positive,Negative,Negative,Negative,Negativo,NA,26268_1#186,4772STDY6940884,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
65,J43/ W,,O1,Ogawa,Ambiental,21/04/1992,Jujuy,,,Positive,Positive,Positive,Positive,NR,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
66,RN71,,no-O1,,Human,21/04/1992,Rio Negro,,,Negative,Negative,Negative,Negative,NR,4,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data,,,no data,
67,S27/W,,O1,Ogawa,Ambiental,21/04/1992,"Rio Tarija, Salta",,,Positive,Negative,Negative,Positive,El Tor,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
68,S563,,no-O1,,Human,21/04/1992,Salta,caja 3 temp amb.,TCBS+ TSA+ Oxidas+,Negative,Negative,Negative,Negative,NR,3,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
325,J3/W,,no-O1,,Ambiental,01/12/1992,Jujuy,caja 6 temp amb,TCBS + TSA+ Oxidas+,Negative,,,,,,,,,NA,,CCBT0106,VC228,non-O1,,Environmental,01/12/1992,,Jujuy,Positive,Positive,Positive,Negative,,,,,NA,26268_1#192,4772STDY6940890,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
327,J5/W,,no-O1,,Ambiental,01/12/1992,Jujuy,,,Negative,,,,,,,,,NA,,CCBT0102,VC227,non-O1,,Environmental,12/04/2000,,Jujuy,Positive,Positive,Positive,Negative,,,,,NA,26268_1#188,4772STDY6940886,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
329,J2/W,,no-O1,,Ambiental,01/12/1992,Jujuy,,,Negative,,,,,,,,,NA,,CCBT0162,VC238,non-O1,,Environmental,01/12/1992,,Jujuy,,,,Negative,,,,,NA,26268_1#232,4772STDY6940930,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
330,J108,,O1,Ogawa,Human,01/12/1992,Jujuy,,,Positive,,,,,,,,,NA,vial: JCECO108,CCBT0149,,O1,Ogawa,Human,01/12/1992,,Jujuy,,,,Positive,,,,,NA,26268_1#220,4772STDY6940918,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
331,J109,,O1,Ogawa,Human,01/12/1992,Jujuy,,,Positive,,,,,,,,,NA,vial: JCECO109,CCBT0270,,O1,Ogawa,Human,22/01/1993,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#40,4772STDY6941026,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
407,SG10,,O1,Ogawa,Human,13/01/1993,"Guemes, Salta",caja 7 tem amb ,TCBS+ TSA+ Oxidasa+,Positive,,,,,7,,,,NA,,CCBT0138,,O1,Ogawa,Human,13/01/1993,Guemes,Salta,Positive,Positive,Positive,Positive,,,,,NA,26237_7#51,4772STDY6941191,NA,NA,"General Guemes, Salta",-24.669386,-65.050415,Salta,
408,SG12,,O1,Ogawa,Human,13/01/1993,"Guemes, Salta",caja 7 tem amb ,TCBS+ TSA+ Oxidasa+,Positive,,,,,7,,,,NA,,CCBT0148,,O1,Ogawa,Human,13/01/1993,Guemes,Salta,Positive,Positive,Positive,Positive,,,,,NA,26268_1#219,4772STDY6940917,NA,NA,"General Guemes, Salta",-24.669386,-65.050415,Salta,
409,SG49,,O1,Ogawa,Human,13/01/1993,"Guemes, Salta",caja 7 temp amb,TCBS + TSA+ Oxidas+,Positive,,,,,7,,,,NA,,CCBT0154,,O1,Ogawa,Human,13/01/1993,Guemes,Salta,Positive,Positive,Positive,Positive,,,,,NA,26268_1#225,4772STDY6940923,NA,NA,"General Guemes, Salta",-24.669386,-65.050415,Salta,
423,SG23,,O1,Ogawa,Human,13/01/1993,"Guemes, Salta",caja 7 temp amb,TCBS + TSA+ Oxidas- se descarta,Positive,,,,,7,,,,NA,,CCBT0236,,O1,Ogawa,Human,13/01/1993,Guemes,Salta,Positive,Positive,Negative,Positive,,,,,NA,26268_1#11,4772STDY6940997,NA,NA,"General Guemes, Salta",-24.669386,-65.050415,Salta,
448,ST2133,,O1,Ogawa,Human,16/01/1993,"Tartagal, Salta",caja 8 temp amb,TCBS- TSA+ Oxidasa+,Positive,,,,,8,,,,NA,,CCBT0340,,O1,Ogawa,Human,16/01/1993,Tartagal,Salta,Negative,Positive,Positive,Positive,,,,,NA,26237_7#97,4772STDY6941083,NA,NA,"Tartagal, Salta",-22.520552,-63.801287,Salta,
519,J205/W,,O1,Ogawa,Ambiental,19/01/1993,Jujuy,Caja 6 t amb,TCBS + TSA+ Oxidas+,Positive,,,,,7,,,,NA,,CCBT0130,,non-O1,,Environmental,03/06/1996,,Jujuy,,,,Negative,,,,,NA,26268_1#214,4772STDY6940912,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
